"date","location","windgustdir","windgustspeed","winddir9am","winddir3pm","windspeed9am","windspeed3pm"
"2016-03-24","Cairns","SE",48,"S","S",13,17
"2016-03-24","GoldCoast","ESE",35,"SE","ESE",13,24
"2016-03-24","Townsville","ENE",44,"ESE","E",26,31
"2016-03-24","Adelaide","WNW",17,"E","SW",6,9
"2016-03-24","MountGambier","SSE",30,"SSE","SW",20,13
"2016-03-24","Nuriootpa","NE",24,"E","NE",9,11
"2016-03-24","Woomera","SE",43,"E","WNW",11,17
"2016-03-24","Witchcliffe","SE",48,"ESE","SE",22,26
"2016-03-24","PearceRAAF","E",54,"ESE","ESE",19,24
"2016-03-24","PerthAirport","E",63,"E","E",28,24
"2016-03-24","Perth","SE",43,"E","E",13,11
"2016-03-24","SalmonGums","ESE",37,"SE","SE",24,19
"2016-03-24","Walpole","SE",41,"SE","ESE",22,20
"2016-03-24","Hobart","SE",30,"NNW","SE",13,17
"2016-03-24","Launceston","NNW",33,"ESE","NNW",6,15
"2016-03-24","AliceSprings","SE",35,NA,"SSE",0,19
"2016-03-24","Darwin","N",41,"WSW","WNW",9,17
"2016-03-24","Katherine","SE",33,"NE","SE",7,15
"2016-03-24","Uluru","SSE",31,"ESE","ESE",7,9
"2016-03-25","Albury","W",35,NA,"W",0,22
"2016-03-25","BadgerysCreek","S",17,NA,"NNE",0,6
"2016-03-25","Cobar","SSW",35,"SSW","SSW",9,17
"2016-03-25","CoffsHarbour","NE",44,"NW","NE",13,31
"2016-03-25","Moree","N",50,"NNE","NNW",31,11
"2016-03-25","Newcastle",NA,NA,NA,NA,0,NA
"2016-03-25","NorahHead","NNE",33,"N","SW",15,4
"2016-03-25","NorfolkIsland","SSW",28,"S","S",17,17
"2016-03-25","Penrith","NNE",19,"S","NNW",2,9
"2016-03-25","Richmond","S",28,NA,"NNE",0,13
"2016-03-25","Sydney","S",24,"WNW","WNW",11,9
"2016-03-25","SydneyAirport","S",44,"NW","NW",13,13
"2016-03-25","WaggaWagga","W",33,"WSW","NW",9,20
"2016-03-25","Williamtown","WNW",24,"NNE","W",9,11
"2016-03-25","Wollongong","SSW",31,"N","ENE",17,13
"2016-03-25","Canberra","WNW",30,"ENE","NW",7,19
"2016-03-25","Tuggeranong","SSW",30,"SE","WNW",2,13
"2016-03-25","MountGinini","NW",37,"WSW","WSW",11,17
"2016-03-25","Ballarat","SSW",37,"S","SW",20,19
"2016-03-25","Bendigo","SW",35,"SSE","WSW",15,20
"2016-03-25","Sale","WSW",37,"SSW","WSW",9,20
"2016-03-25","MelbourneAirport","SSE",37,"SW","SE",15,26
"2016-03-25","Mildura","WSW",31,"SSW","SSW",13,13
"2016-03-25","Nhil","S",41,"SSW","SW",20,28
"2016-03-25","Portland","W",35,"W","W",4,22
"2016-03-25","Watsonia","S",31,NA,"SSW",0,15
"2016-03-25","Dartmoor","SSW",33,"N","SW",2,11
"2016-03-25","Brisbane","ENE",22,"WSW","ENE",2,9
"2016-03-25","Cairns","SE",41,"SSE","ESE",19,30
"2016-03-25","GoldCoast","E",24,"SSE","E",11,19
"2016-03-25","Townsville","ENE",37,"SE","ENE",13,28
"2016-03-25","Adelaide","W",37,"SE","WSW",9,19
"2016-03-25","MountGambier","W",33,"WNW","SW",9,15
"2016-03-25","Nuriootpa","WSW",33,"SE","SE",17,11
"2016-03-25","Woomera","S",52,"S","SSE",26,26
"2016-03-25","Albany",NA,NA,NA,NA,NA,NA
"2016-03-25","Witchcliffe","SSE",31,"ESE","S",15,19
"2016-03-25","PearceRAAF","E",59,"E","WSW",30,6
"2016-03-25","PerthAirport","E",63,"ENE","NE",31,15
"2016-03-25","Perth","ESE",33,"ENE","NE",13,6
"2016-03-25","SalmonGums","NE",28,"E","E",17,13
"2016-03-25","Walpole","ESE",37,"E","ESE",15,17
"2016-03-25","Hobart","NNW",43,"NNW","SW",28,17
"2016-03-25","Launceston","NNW",33,"ENE","NNW",2,17
"2016-03-25","AliceSprings","SSE",39,"SSW","SSE",11,19
"2016-03-25","Darwin","N",31,"ENE","N",13,24
"2016-03-25","Katherine","E",37,"E","E",6,19
"2016-03-25","Uluru","SSW",37,"SSE","SSE",20,15
"2016-03-26","Albury","WSW",30,NA,"WSW",0,11
"2016-03-26","BadgerysCreek","ESE",28,"SW","ESE",4,7
"2016-03-26","Cobar","SW",33,"SSE","SSW",9,19
"2016-03-26","CoffsHarbour","ESE",30,"SSW","SE",9,17
"2016-03-26","Moree","N",43,"NE","SW",15,22
"2016-03-26","Newcastle",NA,NA,NA,NA,0,NA
"2016-03-26","NorahHead","NNE",37,"W","ESE",9,15
"2016-03-26","NorfolkIsland","WSW",30,"SW","SSW",9,19
"2016-03-26","Penrith","ENE",30,"N","E",4,9
"2016-03-26","Richmond","ENE",28,NA,"SSW",0,6
"2016-03-26","Sydney","ENE",28,"WNW","ENE",17,17
"2016-03-26","SydneyAirport","E",31,"WNW","E",9,15
"2016-03-26","WaggaWagga","WNW",31,"NNW","W",6,19
"2016-03-26","Williamtown","SE",33,"NW","SE",13,20
"2016-03-26","Wollongong","E",31,"WNW","ESE",2,15
"2016-03-26","Canberra","N",33,"NW","WNW",7,11
"2016-03-26","Tuggeranong","N",28,"WNW","NNW",2,11
"2016-03-26","MountGinini","WSW",43,"WSW","WNW",11,11
"2016-03-26","Ballarat","W",30,"SW","SW",13,17
"2016-03-26","Bendigo","SSW",37,"SSW","SSW",11,20
"2016-03-26","Sale","WSW",41,"NW","WSW",9,19
"2016-03-26","MelbourneAirport","S",33,"W","SSW",13,13
"2016-03-26","Mildura","SSW",28,"S","SW",9,17
"2016-03-26","Nhil","SSW",37,"WNW","WSW",7,24
"2016-03-26","Portland","SW",33,"W","W",7,22
"2016-03-26","Watsonia","SW",30,NA,"SW",0,11
"2016-03-26","Dartmoor","SW",31,"WNW","SSW",7,20
"2016-03-26","Brisbane","ENE",24,"SW","ENE",4,13
"2016-03-26","Cairns","SE",41,"S","ESE",17,19
"2016-03-26","GoldCoast","SSE",43,"NW","NNE",13,28
"2016-03-26","Townsville","ENE",30,"SE","ENE",13,22
"2016-03-26","Adelaide","WSW",22,"SSE","SW",6,11
"2016-03-26","MountGambier","W",39,"W","SW",11,13
"2016-03-26","Nuriootpa","WSW",37,NA,"WSW",0,11
"2016-03-26","Woomera","SSE",44,"S","S",31,20
"2016-03-26","Albany",NA,NA,"E",NA,28,NA
"2016-03-26","Witchcliffe","SE",52,"SSE","SE",9,11
"2016-03-26","PearceRAAF","E",33,"E","ESE",9,11
"2016-03-26","PerthAirport","E",31,"ENE","E",11,17
"2016-03-26","Perth","E",20,"ESE","ESE",6,9
"2016-03-26","SalmonGums","E",30,"ENE","ENE",17,13
"2016-03-26","Walpole","E",35,"E","E",19,11
"2016-03-26","Hobart","SW",56,"NNW","SW",24,24
"2016-03-26","Launceston","N",30,"NW","NNW",9,15
"2016-03-26","AliceSprings","SSE",30,"SSE","SSE",17,9
"2016-03-26","Darwin","ENE",50,"ESE","NNW",9,13
"2016-03-26","Katherine","ESE",35,"WSW","E",6,17
"2016-03-26","Uluru","ESE",33,"ESE","ENE",24,20
"2016-03-27","Albury","NE",28,"E","NNW",2,9
"2016-03-27","BadgerysCreek","ESE",31,"NNW","E",6,19
"2016-03-27","Cobar","WSW",31,"S","SW",9,17
"2016-03-27","CoffsHarbour","NE",30,"WSW","NE",9,17
"2016-03-27","Moree","ENE",37,"NNE","SW",11,13
"2016-03-27","Newcastle",NA,NA,NA,NA,0,NA
"2016-03-27","NorahHead","ESE",39,"SSW","E",9,28
"2016-03-27","NorfolkIsland","SSW",28,"S","SSW",9,13
"2016-03-27","Penrith","SE",31,"S","E",6,17
"2016-03-27","Richmond","SE",37,NA,"SE",0,24
"2016-03-27","Sydney","ESE",41,"S","E",9,20
"2016-03-27","SydneyAirport","SE",37,"S","E",20,24
"2016-03-27","WaggaWagga","WNW",26,"ENE","WSW",7,13
"2016-03-27","Williamtown","ESE",44,"WNW","SE",9,31
"2016-03-27","Wollongong","SE",33,"ESE","ESE",28,15
"2016-03-27","Canberra","E",52,"SE","NE",7,19
"2016-03-27","Tuggeranong","E",39,NA,"WSW",0,11
"2016-03-27","MountGinini","NE",28,"NE","N",9,7
"2016-03-27","Ballarat","S",41,"S","SSE",19,24
"2016-03-27","Bendigo","SSE",37,"SSW","SE",17,22
"2016-03-27","Sale","S",28,"WNW","S",11,20
"2016-03-27","MelbourneAirport","SSE",41,"SSW","SSE",13,24
"2016-03-27","Mildura","SSW",31,"S","S",13,11
"2016-03-27","Nhil","S",39,"S","SW",17,20
"2016-03-27","Portland","S",50,"S","S",13,17
"2016-03-27","Watsonia","SW",31,"S","SSW",7,17
"2016-03-27","Dartmoor","SSW",30,"SSW","SSE",6,15
"2016-03-27","Brisbane","WSW",15,"SW",NA,6,0
"2016-03-27","Cairns","NE",31,"SSE","NE",7,20
"2016-03-27","GoldCoast","ESE",24,"S","ENE",9,11
"2016-03-27","Townsville","ENE",31,NA,"ENE",0,24
"2016-03-27","Adelaide","ESE",33,"E","SE",6,7
"2016-03-27","MountGambier","SSW",30,"SW","SSW",7,15
"2016-03-27","Nuriootpa","SE",39,"ESE","SE",15,17
"2016-03-27","Woomera","SE",30,"SSE","N",17,7
"2016-03-27","Albany",NA,NA,"ENE",NA,4,NA
"2016-03-27","Witchcliffe","SSE",39,"ESE","S",15,24
"2016-03-27","PearceRAAF","SE",43,"SE","SE",24,31
"2016-03-27","PerthAirport","SE",50,"SE","SE",24,28
"2016-03-27","Perth","SSE",37,"SE","SSE",13,17
"2016-03-27","SalmonGums","ENE",31,"E","ESE",17,13
"2016-03-27","Walpole","SSE",35,"ENE","SSE",11,15
"2016-03-27","Hobart","WNW",39,"NNW","NW",22,20
"2016-03-27","Launceston","NNW",22,"E","WNW",4,7
"2016-03-27","AliceSprings","S",41,"ESE","S",19,11
"2016-03-27","Darwin","NNE",37,"ESE","NW",7,19
"2016-03-27","Katherine","E",24,"NW","ESE",9,9
"2016-03-27","Uluru","ENE",33,"E","SSW",22,11
"2016-03-28","Albury","NW",30,NA,"WNW",0,15
"2016-03-28","BadgerysCreek","ESE",20,"SW","NE",7,11
"2016-03-28","Cobar","SSW",24,NA,"S",0,9
"2016-03-28","CoffsHarbour","NNE",43,"WNW","NE",11,31
"2016-03-28","Moree","NNE",39,"NNE","NNE",28,20
"2016-03-28","Newcastle",NA,NA,NA,NA,0,NA
"2016-03-28","NorahHead","NNE",31,"NNW","NE",7,13
"2016-03-28","NorfolkIsland","E",30,"ESE","SE",9,15
"2016-03-28","Penrith","SE",19,"SSW","ENE",7,6
"2016-03-28","Richmond","ESE",24,"S","E",9,9
"2016-03-28","Sydney","SSW",26,"S","ESE",15,20
"2016-03-28","SydneyAirport","E",43,"S","SSE",28,22
"2016-03-28","WaggaWagga","NW",33,"NW","NNW",7,24
"2016-03-28","Williamtown","E",31,"NNE","E",13,19
"2016-03-28","Wollongong","S",35,"SSW","SSE",15,20
"2016-03-28","Canberra","NNE",28,"ENE","SE",6,13
"2016-03-28","Tuggeranong","ENE",50,"ENE","ESE",6,6
"2016-03-28","MountGinini","NW",35,"NNE","NW",15,17
"2016-03-28","Ballarat","SE",43,"SSE","SE",24,26
"2016-03-28","Bendigo","S",37,"SSE","SSE",20,19
"2016-03-28","Sale","SSE",22,NA,"SE",0,11
"2016-03-28","MelbourneAirport","S",46,"S","S",9,28
"2016-03-28","Mildura","S",30,"SSE","SW",7,15
"2016-03-28","Nhil","S",30,"S","S",11,17
"2016-03-28","Portland","SE",26,"SE","S",6,11
"2016-03-28","Watsonia","SSW",33,"SSW","SSW",7,15
"2016-03-28","Dartmoor","S",28,NA,"S",0,13
"2016-03-28","Brisbane","NE",20,"WSW","NE",7,9
"2016-03-28","Cairns","ENE",31,"SSE","ESE",13,15
"2016-03-28","GoldCoast","E",31,"S","ENE",17,13
"2016-03-28","Townsville","ENE",30,"ESE","ENE",9,24
"2016-03-28","Adelaide","SE",30,"E","W",13,2
"2016-03-28","MountGambier","S",31,"SW","S",7,13
"2016-03-28","Nuriootpa","SE",43,"E","ESE",13,15
"2016-03-28","Woomera","SE",28,"S","NNW",15,13
"2016-03-28","Albany",NA,NA,NA,NA,0,NA
"2016-03-28","Witchcliffe","SSE",31,"E","SE",11,15
"2016-03-28","PearceRAAF","E",37,"ESE","SE",17,20
"2016-03-28","PerthAirport","E",43,"E","ESE",19,24
"2016-03-28","Perth","ESE",30,"SE","SE",9,11
"2016-03-28","SalmonGums","S",28,"SE","S",15,17
"2016-03-28","Walpole","SSE",24,NA,"S",0,9
"2016-03-28","Hobart","NW",33,"NNW","SSW",17,9
"2016-03-28","Launceston","NNW",19,"E","NNW",2,9
"2016-03-28","AliceSprings","NNW",46,"NE","NW",17,19
"2016-03-28","Darwin","WNW",28,"SSE","NW",9,15
"2016-03-28","Katherine","ENE",30,"NW","ESE",6,13
"2016-03-28","Uluru","SSE",33,"ESE","SSE",22,15
"2016-03-29","Albury","NW",35,NA,"W",0,11
"2016-03-29","BadgerysCreek","SSW",15,"SSW","WNW",4,6
"2016-03-29","Cobar","SSW",20,"WNW","WNW",2,7
"2016-03-29","CoffsHarbour","NE",50,"NNW","NNE",19,35
"2016-03-29","Moree","NNE",46,"NNE","W",28,22
"2016-03-29","Newcastle",NA,NA,NA,NA,0,NA
"2016-03-29","NorahHead","SSW",46,"WSW","SSW",6,28
"2016-03-29","NorfolkIsland","E",37,"E","SE",24,22
"2016-03-29","Penrith","SSE",11,"SE","SE",4,7
"2016-03-29","Richmond","SW",17,"SSE","S",11,7
"2016-03-29","Sydney","SSW",37,"SSW","SSW",13,19
"2016-03-29","SydneyAirport","S",50,"SSW","SSW",30,26
"2016-03-29","WaggaWagga","WNW",31,NA,"NW",0,15
"2016-03-29","Williamtown","SSW",37,"NW","SSW",13,30
"2016-03-29","Wollongong","S",37,"SW","SW",9,7
"2016-03-29","Canberra","NE",31,"SE","NNE",11,13
"2016-03-29","Tuggeranong","ENE",24,"SE","NNE",9,9
"2016-03-29","MountGinini","NE",26,"ENE","NNE",11,11
"2016-03-29","Ballarat","SSE",43,"S","SSE",30,30
"2016-03-29","Bendigo","S",44,"SSE","S",26,15
"2016-03-29","Sale","SE",20,"WNW","SE",2,11
"2016-03-29","MelbourneAirport","SSE",39,"SSE","S",22,28
"2016-03-29","Mildura","SSW",28,"SSE","SW",13,15
"2016-03-29","Nhil","S",50,"S","S",20,22
"2016-03-29","Portland","SSE",20,"S","S",7,15
"2016-03-29","Watsonia","SSW",33,"S","S",13,15
"2016-03-29","Dartmoor","SSE",26,"WSW","SSE",7,13
"2016-03-29","Brisbane","NE",20,"SSW","NE",6,9
"2016-03-29","Cairns","SE",37,"S","ESE",15,26
"2016-03-29","GoldCoast","N",30,"WNW","NE",11,20
"2016-03-29","Townsville","ENE",31,"ESE","NE",13,24
"2016-03-29","Adelaide","SSE",33,"SW","S",6,15
"2016-03-29","MountGambier","SSE",35,"W","SSE",7,24
"2016-03-29","Nuriootpa","SE",39,"ESE","SE",9,20
"2016-03-29","Woomera","SSE",41,"SSW","S",20,20
"2016-03-29","Albany",NA,NA,"N",NA,4,NA
"2016-03-29","Witchcliffe","SW",26,"ESE","WSW",7,13
"2016-03-29","PearceRAAF","ESE",31,"E","E",19,19
"2016-03-29","PerthAirport","SE",37,"ENE","W",19,11
"2016-03-29","Perth","SW",30,"ENE","SSW",9,15
"2016-03-29","SalmonGums","NNW",30,"NE","SW",6,2
"2016-03-29","Walpole","SE",26,NA,"SSE",0,11
"2016-03-29","Hobart","SE",35,"NNW","NE",13,11
"2016-03-29","Launceston","SE",20,"SE","WNW",4,6
"2016-03-29","AliceSprings","S",37,"SSE","S",11,22
"2016-03-29","Darwin","SSW",37,"E","NW",9,19
"2016-03-29","Katherine","W",26,"WNW","E",15,9
"2016-03-29","Uluru","S",33,"SE","SE",19,15
"2016-03-30","Albury","NNE",33,NA,"SE",0,15
"2016-03-30","BadgerysCreek","W",24,"WSW","SSW",4,4
"2016-03-30","Cobar","WSW",35,"SSW","W",13,17
"2016-03-30","CoffsHarbour","N",26,"S","NW",7,6
"2016-03-30","Moree","SSW",39,"NE","W",13,15
"2016-03-30","Newcastle",NA,NA,"NW",NA,9,NA
"2016-03-30","NorahHead","NNE",22,"WNW","ESE",6,7
"2016-03-30","NorfolkIsland","E",33,"E","E",13,24
"2016-03-30","Penrith","NW",33,NA,"W",0,9
"2016-03-30","Richmond","W",39,"WNW","W",4,19
"2016-03-30","Sydney","WNW",30,"W","NW",17,7
"2016-03-30","SydneyAirport","WSW",41,"W","SW",13,22
"2016-03-30","WaggaWagga","WSW",37,"W","SW",9,22
"2016-03-30","Williamtown","NW",50,"NW","WNW",15,13
"2016-03-30","Wollongong","S",39,"WSW","ENE",13,9
"2016-03-30","Canberra","NW",39,"W","WSW",7,20
"2016-03-30","Tuggeranong","WSW",33,NA,"WSW",0,20
"2016-03-30","MountGinini","WSW",43,"WSW","WSW",15,19
"2016-03-30","Ballarat","SSE",37,"S","S",15,17
"2016-03-30","Bendigo","S",39,"SSW","SSW",13,17
"2016-03-30","Sale","W",37,"W","WSW",28,17
"2016-03-30","MelbourneAirport","SSE",39,"SW","S",13,24
"2016-03-30","Mildura","SSW",41,"SSW","SSW",13,20
"2016-03-30","Nhil","SSW",41,"SSW","SSW",11,26
"2016-03-30","Portland","W",31,NA,"W",0,19
"2016-03-30","Watsonia","SSW",31,"SW","SW",11,17
"2016-03-30","Dartmoor","W",26,NA,"SW",0,11
"2016-03-30","Brisbane","WNW",24,"N","NE",6,7
"2016-03-30","Cairns","SE",33,"S","ESE",13,19
"2016-03-30","GoldCoast","NW",35,"NW","NNE",20,20
"2016-03-30","Townsville","NE",31,"SE","NE",15,24
"2016-03-30","Adelaide","SW",24,"N","WSW",7,7
"2016-03-30","MountGambier","WSW",33,"WNW","WSW",7,20
"2016-03-30","Nuriootpa","WSW",28,"NNE","WSW",7,20
"2016-03-30","Woomera","SSE",37,"SSE","SSW",20,13
"2016-03-30","Albany",NA,NA,"NNE",NA,4,NA
"2016-03-30","Witchcliffe","NNW",26,"ESE","W",6,11
"2016-03-30","PearceRAAF","NE",26,"NNE",NA,13,NA
"2016-03-30","PerthAirport","SW",33,"NE","E",13,11
"2016-03-30","Perth","SW",28,"NE","S",11,7
"2016-03-30","SalmonGums","WNW",24,"NNW","WNW",11,7
"2016-03-30","Walpole","WNW",26,"N","SW",6,7
"2016-03-30","Hobart","NNW",28,"SE","SSE",6,19
"2016-03-30","Launceston","NW",15,"ENE","NW",4,6
