,time,rad_flow,fpv_close,fpv_open,high,bypass,bpv_close,bpv_open,class,wtf
152,37,0,78,0,0,8,41,78,36,1
153,56,0,92,0,52,2,36,40,4,4
154,37,0,77,0,34,-30,40,43,2,1
155,55,-1,79,-3,24,-7,23,55,32,4
156,46,0,81,1,46,0,35,35,0,1
157,55,0,77,4,0,0,22,77,56,4
158,56,0,108,3,54,-5,52,53,2,1
159,56,0,81,0,-18,11,25,99,74,4
160,50,0,87,-2,50,0,37,38,0,1
161,41,0,76,-3,38,0,35,37,2,1
162,37,0,79,0,30,-7,43,48,6,1
163,37,0,79,2,12,0,42,66,24,1
164,81,0,84,0,-20,16,4,105,102,5
165,56,-4,79,0,56,0,22,22,0,1
166,44,0,76,-2,44,2,32,32,0,1
167,37,0,108,0,36,2,71,72,0,1
168,37,0,79,0,18,2,42,61,18,1
169,37,0,97,6,34,0,60,64,4,1
170,43,0,77,0,44,21,34,34,0,1
171,46,0,79,8,46,2,34,33,0,1
172,53,2,81,0,54,23,28,26,0,1
173,46,1,83,0,46,14,37,37,0,1
174,37,0,80,0,34,-1,43,46,2,1
175,46,0,76,2,46,2,30,30,0,1
176,37,0,80,2,26,0,43,54,10,1
177,56,-1,96,0,52,0,40,44,4,4
178,37,0,83,0,34,18,46,49,4,1
179,55,0,77,3,-24,0,22,103,82,4
180,47,0,88,-2,46,-4,41,41,0,1
181,56,2,97,0,42,0,40,55,14,4
182,45,0,80,0,44,-9,35,36,2,1
183,43,-1,81,4,42,-3,38,40,2,1
184,55,0,96,2,42,-24,41,55,14,4
185,39,1,106,0,38,0,68,67,0,1
186,56,0,85,0,56,5,29,28,0,1
187,45,-3,84,0,46,17,38,37,0,1
188,37,0,76,0,36,-18,38,39,2,1
189,50,0,86,-5,50,0,35,37,2,1
190,40,-1,80,-3,38,14,40,41,2,1
191,37,0,105,0,24,9,68,82,14,1
192,56,-5,97,0,50,0,41,48,6,4
193,38,0,92,0,20,17,54,71,18,1
194,43,-4,79,0,42,3,36,38,2,1
195,51,-1,86,0,50,-2,35,37,2,1
196,41,2,79,0,38,-21,38,41,2,1
197,37,0,76,-4,20,-6,40,55,16,1
198,37,0,74,0,34,2,37,41,4,1
199,56,0,77,0,16,-1,22,62,40,4
200,37,0,79,0,28,29,42,50,8,1
201,53,0,82,0,54,27,29,28,0,1
202,53,-3,81,0,54,15,28,26,0,1
203,46,0,82,0,46,3,36,35,0,1
204,36,-2,82,-1,36,0,46,46,0,1
205,37,-5,106,0,34,0,69,72,2,1
206,37,0,95,0,20,-26,58,75,16,1
207,76,0,81,0,-42,-20,5,125,120,5
208,49,0,90,0,46,-13,42,44,2,1
209,42,-1,76,1,42,0,34,35,0,1
210,53,0,88,0,54,8,35,34,0,1
211,82,0,86,0,-10,10,3,96,92,5
212,49,0,86,3,50,0,37,37,0,1
213,53,0,88,0,54,6,35,33,0,1
214,37,0,105,3,20,0,68,84,16,1
215,56,0,86,0,54,-11,31,32,2,1
216,37,0,83,0,16,-7,47,68,22,1
217,45,-4,76,0,44,0,32,32,0,1
218,45,0,83,6,44,-5,38,39,2,1
219,106,0,107,0,72,0,1,35,34,5
220,76,-1,81,0,-42,-3,5,125,120,5
221,46,0,83,0,44,-16,37,39,2,1
222,48,5,90,0,46,0,41,43,2,1
223,54,-3,86,-3,54,-4,32,32,0,1
224,41,-2,82,0,42,10,41,41,0,1
225,37,0,83,0,8,6,46,75,30,1
226,56,0,81,0,-18,24,25,99,74,4
227,84,-2,88,0,0,0,4,88,84,5
228,43,-3,83,0,42,-12,39,41,2,1
229,37,0,76,-3,34,-21,38,42,4,1
230,41,-5,86,0,42,0,45,45,0,1
231,55,0,77,0,12,4,22,65,42,4
232,37,0,79,0,8,-26,42,71,28,1
233,55,0,95,0,50,-1,40,46,6,4
234,41,0,83,6,38,-13,42,44,2,1
235,37,0,106,-1,26,0,69,80,12,1
236,55,0,96,1,52,0,41,44,4,4
237,38,1,77,0,38,5,40,39,0,1
238,55,0,76,0,-14,-8,21,92,70,4
239,42,1,85,0,42,0,43,44,0,1
240,55,0,76,-1,-18,0,21,94,74,4
241,55,0,96,5,54,0,41,42,2,1
242,37,0,74,0,26,-30,38,48,10,1
243,42,0,79,-7,42,0,37,38,2,1
244,39,6,76,-1,38,-1,37,37,0,1
245,47,-3,109,0,46,0,61,62,0,1
246,41,5,82,0,42,8,41,41,0,1
247,51,0,80,0,52,22,29,28,0,1
248,77,4,81,3,-40,10,4,123,118,5
249,38,-5,86,0,38,0,48,47,0,1
250,43,2,85,0,42,-1,42,44,2,1
251,37,0,97,0,36,9,59,60,2,1
252,56,0,96,-3,54,11,40,42,2,1
253,41,0,109,3,38,-6,68,70,2,1
254,45,0,81,0,44,-25,35,37,2,1
255,51,0,91,0,52,4,40,39,0,1
256,50,1,106,0,50,0,57,57,0,1
257,44,3,85,0,44,15,41,41,0,1
258,56,-4,88,0,54,-29,32,33,2,1
259,37,0,78,-2,2,5,41,75,34,1
260,37,0,77,0,18,17,40,59,18,1
261,53,0,85,0,52,-23,32,33,2,1
262,56,0,79,0,56,14,23,22,0,1
263,56,0,77,0,20,5,22,57,36,4
264,43,0,95,0,42,-20,52,54,2,1
265,55,-1,80,0,-4,5,25,85,60,4
266,37,0,105,0,36,10,68,69,2,1
267,56,7,74,9,-4,-1,18,79,62,4
268,55,0,95,0,42,-15,40,54,14,4
269,41,1,84,0,38,-30,43,45,2,1
270,50,5,83,0,50,0,33,33,0,1
271,46,1,87,0,46,8,41,41,0,1
272,84,0,86,-1,-2,0,3,89,86,5
273,50,4,88,0,50,0,39,39,0,1
274,41,1,81,0,42,11,39,39,0,1
275,51,3,86,0,50,-12,35,37,2,1
276,55,0,78,0,8,10,23,70,48,4
277,41,-3,77,0,42,8,37,36,0,1
278,55,0,77,0,26,-13,21,51,30,4
279,49,0,77,0,50,24,28,28,0,1
280,46,1,77,0,44,-10,31,33,2,1
281,37,0,79,0,12,-19,43,66,24,1
282,55,0,77,0,26,19,21,51,30,4
283,43,0,86,0,42,-20,42,44,2,1
284,37,0,81,0,24,7,44,57,14,1
285,37,0,79,-1,26,-21,42,53,12,1
286,44,0,81,0,42,-29,37,39,2,1
287,73,8,77,9,-42,-4,4,121,116,5
288,46,-5,79,0,46,0,33,32,0,1
289,102,0,102,-5,70,-10,1,33,32,5
290,37,0,95,0,18,5,58,77,20,1
291,37,0,77,0,20,3,40,57,16,1
292,41,0,84,0,42,10,43,43,0,1
293,44,0,87,-6,44,2,43,43,0,1
294,41,0,78,4,42,12,37,37,0,1
295,42,1,102,0,42,0,60,61,2,1
296,55,0,86,0,56,21,31,30,0,1
297,37,0,76,-3,28,-3,39,47,8,1
298,105,0,107,2,70,0,1,37,36,5
299,47,-2,80,0,46,0,33,34,0,1
300,43,0,82,0,42,-19,39,41,2,1
301,42,0,77,2,42,0,35,35,0,1
302,47,4,84,0,46,0,37,37,0,1
303,37,0,78,0,10,4,41,68,26,1
304,55,4,83,0,54,0,27,28,2,1
305,52,0,86,-6,52,0,33,34,0,1
306,85,0,88,0,0,-1,3,88,86,5
307,55,0,82,0,-18,7,26,100,74,4
308,44,2,77,0,42,-21,33,35,2,1
309,45,-4,100,0,44,0,55,56,2,1
310,48,-1,86,0,46,-11,38,40,2,1
311,55,0,89,0,56,29,34,32,0,1
312,49,1,86,0,50,2,37,37,0,1
313,45,0,83,8,44,-3,38,39,2,1
314,37,0,95,4,10,0,58,84,26,1
315,46,2,87,0,46,1,41,41,0,1
316,53,0,79,0,52,-22,26,27,2,1
317,37,0,79,0,0,-12,42,79,36,1
318,55,0,82,-7,-24,0,26,108,82,4
319,41,0,87,-4,38,-10,46,48,2,1
320,55,0,77,5,30,0,22,46,24,4
321,37,0,76,8,26,8,39,50,12,1
322,37,0,108,0,34,13,71,75,4,1
323,79,0,83,0,-42,21,4,127,122,5
324,44,0,83,0,42,-11,39,41,2,1
325,40,-2,86,0,38,0,46,48,2,1
326,55,0,82,0,54,889,26,28,2,1
327,55,0,80,0,54,0,25,26,2,1
328,45,0,79,0,44,-20,34,35,2,1
329,49,2,87,0,46,-6,38,41,2,1
330,74,5,79,10,-42,0,4,123,118,5
331,46,3,80,0,46,0,34,34,0,1
332,52,-5,86,0,52,-2,33,34,0,1
333,41,-5,100,2,42,0,59,59,0,1
334,82,0,86,0,-40,16,4,128,124,5
335,42,0,82,-7,42,0,40,41,0,1
336,49,-1,80,0,50,7,31,31,0,1
337,37,0,79,-4,36,0,41,43,2,1
338,44,0,79,0,42,-23,35,37,2,1
339,45,0,86,-1,44,4,40,42,2,1
340,57,-2,80,0,56,0,23,23,0,1
341,37,0,106,3,36,0,69,70,2,1
342,43,0,82,-6,42,-4,39,41,2,1
343,47,1,86,0,46,0,40,40,0,1
344,44,0,81,0,42,-25,37,39,2,1
345,54,-5,88,0,54,0,34,34,0,1
346,57,5,92,0,56,0,35,35,0,1
347,37,0,76,0,34,5,40,43,2,1
348,41,0,79,3,38,-4,39,41,2,1
349,49,1,84,0,46,-9,35,37,2,1
350,51,3,85,0,50,-12,34,36,2,1
351,38,0,75,0,36,-24,37,39,2,1
352,56,0,81,0,-6,13,25,89,64,4
353,37,3,108,0,36,0,71,72,0,1
354,55,0,77,0,-24,7,21,103,82,4
355,56,2,97,6,52,0,40,45,4,4
356,56,0,78,0,6,0,22,73,50,4
357,80,0,84,6,-36,29,5,121,116,5
358,52,-1,81,0,52,-1,28,29,0,1
359,55,0,96,0,52,-15,41,44,4,4
360,37,0,81,-1,30,0,45,50,6,1
361,48,-3,83,0,46,0,34,36,2,1
362,56,0,76,0,-14,14,20,92,72,4
363,55,0,78,0,6,2,23,73,50,4
364,46,1,86,3,46,0,40,39,0,1
365,45,1,90,0,44,0,45,46,0,1
366,37,0,108,1,36,5,71,72,0,1
367,45,0,77,8,44,0,32,33,2,1
368,55,0,87,-1,56,23,32,30,0,1
369,45,-1,109,0,44,0,64,66,2,1
370,37,0,79,-4,30,0,42,48,6,1
371,51,0,84,0,52,0,33,32,0,1
372,37,0,76,3,36,0,39,40,0,1
373,37,0,97,0,26,-12,60,71,12,1
374,79,0,83,-1,-40,7,4,124,120,5
375,47,-2,90,-2,46,0,43,43,0,1
376,49,0,77,0,46,-10,28,30,2,1
377,37,0,79,-1,26,-4,42,53,10,1
378,56,0,86,0,56,2,31,30,0,1
379,55,0,93,-1,10,-3,37,82,46,4
380,42,0,84,8,42,0,43,43,0,1
381,37,0,97,-2,34,5,60,64,4,1
382,37,0,79,0,16,14,42,63,22,1
383,81,5,85,0,-12,0,4,98,94,5
384,45,0,80,-2,44,0,35,36,0,1
385,46,1,83,0,44,-25,37,39,2,1
386,48,0,88,2,46,0,40,42,2,1
387,107,5,108,1,72,6,1,36,34,5
388,37,-2,77,0,36,0,41,41,0,1
389,55,0,99,8,42,-1,43,57,14,4
390,55,1,86,1,54,0,31,32,2,1
391,45,0,83,0,46,15,37,36,0,1
392,56,-3,87,1,56,0,31,30,0,1
393,56,0,96,0,52,-16,40,44,4,4
394,37,0,75,0,28,10,38,46,8,1
395,49,-2,88,0,46,-28,39,41,2,1
396,44,0,83,8,44,0,38,39,0,1
397,37,0,78,0,24,24,42,55,14,1
398,43,0,80,3,42,-17,37,39,2,1
399,41,0,78,0,38,-1,37,39,2,1
400,47,-3,75,0,46,0,28,28,0,1
401,55,-2,80,-5,20,-11,25,59,34,4
402,50,-1,88,0,50,0,38,39,2,1
403,37,0,100,0,34,-23,64,67,4,1
404,55,0,79,0,20,9,23,58,34,4
405,56,0,77,-3,24,0,22,54,32,4
406,45,1,81,0,44,-3,35,37,2,1
407,52,-1,81,0,52,-2,28,29,0,1
408,38,0,81,0,38,9,43,42,0,1
409,55,0,77,0,28,-4,21,48,28,4
410,43,0,76,6,42,-5,33,35,2,1
411,38,0,82,0,38,6,44,43,0,1
412,82,0,85,0,-6,5,3,93,90,5
413,43,1,77,0,42,0,35,36,2,1
414,56,0,81,2,54,-24,24,26,2,1
415,46,3,78,0,44,-25,32,34,2,1
416,37,0,79,0,28,10,42,50,8,1
417,44,0,77,4,44,0,33,34,0,1
418,47,-3,76,0,46,0,29,30,0,1
419,43,0,86,-3,42,-2,42,44,2,1
420,44,0,88,0,44,3,45,44,0,1
421,55,0,95,0,46,-3,40,49,8,4
422,37,1,83,0,36,0,45,46,2,1
423,37,0,77,0,6,-22,40,72,32,1
424,44,0,83,0,44,3,39,39,0,1
425,41,1,76,0,42,17,35,35,0,1
426,44,1,86,0,44,12,43,42,0,1
427,37,0,80,5,10,0,43,70,26,1
428,48,2,77,0,46,0,29,30,2,1
429,49,0,77,0,46,-7,28,30,2,1
430,45,0,86,-4,46,22,41,40,0,1
431,45,-2,83,0,44,-15,37,39,2,1
432,39,1,77,8,38,0,39,39,0,1
433,44,1,85,0,44,5,41,41,0,1
434,51,3,85,0,50,-9,34,36,2,1
435,56,-3,96,-3,56,0,40,39,0,1
436,41,0,81,1,42,25,40,39,0,1
437,38,4,96,0,38,14,58,57,0,1
438,44,-1,84,0,44,2,40,40,0,1
439,37,0,78,0,2,-10,41,75,34,1
440,58,2,84,0,56,0,25,27,2,1
441,50,0,101,-1,50,0,51,52,0,1
442,44,1,82,0,44,0,38,38,0,1
443,42,2,83,0,42,0,41,41,0,1
444,86,2,89,0,8,4,3,81,78,5
445,37,0,77,0,8,11,40,69,30,1
446,49,0,77,4,50,4,28,28,0,1
447,53,-1,77,4,54,18,25,23,0,1
448,38,-2,76,-1,38,0,37,37,0,1
449,51,0,88,0,52,20,37,37,0,1
450,51,0,83,0,52,10,32,32,0,1
451,37,0,107,0,30,3,70,76,6,1
452,46,0,76,1,46,8,30,29,0,1
453,46,0,88,0,44,-23,42,44,2,1
454,40,2,81,3,38,0,41,43,2,1
455,37,0,77,7,20,-6,41,57,16,1
456,51,0,88,0,50,-12,37,39,2,1
457,49,5,78,0,50,4,29,29,0,1
458,49,-1,81,-4,50,-6,32,32,0,1
459,52,-3,109,0,52,-1,56,57,0,1
460,57,2,86,0,56,0,29,30,0,1
461,49,0,77,0,46,-19,28,30,2,1
462,41,0,81,0,42,24,40,39,0,1
463,45,-3,81,-4,44,-27,35,37,2,1
464,37,0,78,0,18,-18,42,60,18,1
465,37,0,78,0,20,-20,41,57,16,1
466,56,-1,80,-6,54,-13,24,26,2,1
467,55,0,98,0,50,-9,42,49,6,4
468,37,0,78,0,10,6,42,68,26,1
469,37,0,79,0,28,19,42,50,8,1
470,51,1,81,0,52,11,29,29,0,1
471,37,0,90,0,34,-4,53,57,4,1
472,52,-1,82,0,52,0,30,30,0,1
473,53,3,86,0,52,-7,33,34,2,1
474,49,2,86,0,46,-16,38,40,2,1
475,49,0,79,0,46,-12,30,32,2,1
476,56,-2,96,-1,52,0,40,44,4,4
477,37,0,77,0,2,5,40,74,34,1
478,55,0,79,0,20,0,24,59,34,4
479,37,0,77,0,26,13,40,51,10,1
480,43,0,79,5,42,0,35,37,2,1
481,45,0,83,-1,44,-7,37,39,2,1
482,56,0,83,0,54,-7,27,28,2,1
483,49,0,81,0,50,4,33,32,0,1
484,55,0,77,0,18,5,22,59,38,4
485,40,0,97,-4,38,0,57,58,2,1
486,55,0,83,0,-30,-5,27,114,86,4
487,41,-3,81,0,42,18,40,39,0,1
488,37,0,82,0,10,31,45,72,26,1
489,43,0,90,3,42,0,46,48,2,1
490,52,2,82,0,52,0,30,30,0,1
491,41,0,86,0,38,-27,45,47,2,1
492,37,0,79,0,20,31,42,58,16,1
493,55,-1,91,0,54,-6,35,37,2,1
494,45,0,86,1,46,20,41,40,0,1
495,45,0,88,0,46,8,42,41,0,1
496,37,0,106,0,26,2,68,80,12,1
497,56,5,86,0,54,-2,30,32,2,1
498,37,0,108,4,36,0,71,71,0,1
499,55,0,77,0,-2,-8,21,79,58,4
500,53,2,84,0,52,-11,31,32,2,1
501,53,0,108,0,52,-12,55,56,2,1
502,40,-4,109,0,38,0,70,71,2,1
503,49,0,86,0,50,25,38,37,0,1
504,80,0,84,5,-42,0,5,128,124,5
505,55,0,82,0,-36,-3,26,118,92,4
506,37,0,77,2,28,0,40,48,8,1
507,58,-1,86,0,56,-6,27,29,2,1
508,105,-1,106,-4,70,-5,1,36,36,5
509,44,3,81,0,44,13,37,37,0,1
510,51,0,77,0,50,-14,26,28,2,1
511,56,0,95,0,46,8,40,49,10,4
512,56,0,78,-1,44,6,22,34,12,4
513,44,0,83,7,44,0,39,39,0,1
514,40,-1,88,0,38,0,48,49,2,1
515,55,0,79,0,-4,2,24,85,60,4
516,47,-5,90,7,46,0,43,44,0,1
517,64,-5,111,2,62,-9,47,49,2,1
518,55,0,77,0,12,-15,22,65,42,4
519,56,-4,81,0,54,-28,25,26,2,1
520,55,0,95,0,54,-8,40,41,2,1
521,37,0,80,-1,38,15,43,41,0,1
522,41,0,79,0,42,10,38,37,0,1
523,45,0,86,1,44,-17,41,42,2,1
524,44,0,79,0,42,-21,35,37,2,1
525,37,0,83,0,34,10,46,50,4,1
526,45,0,76,-1,44,-1,31,32,2,1
527,43,0,80,1,42,-24,37,39,2,1
528,53,1,81,0,52,-4,28,30,2,1
529,44,-1865,82,-2,44,-4,38,38,0,1
530,43,-1,86,0,42,-7,43,45,2,1
531,50,5,81,0,50,0,32,32,0,1
532,37,0,74,0,30,22,37,43,6,1
533,37,0,76,-4,36,0,39,39,0,1
534,55,0,93,8,6,0,38,88,50,4
535,43,0,80,2,44,17,37,36,0,1
536,52,-2,86,0,52,-1,34,35,0,1
537,45,2,90,0,44,0,45,46,2,1
538,45,-1,81,0,44,-15,36,37,2,1
539,56,0,97,6,54,0,41,42,2,1
540,37,0,93,0,12,14,56,81,24,1
541,44,0,85,0,44,0,41,41,0,1
542,43,0,84,2,42,-2,41,43,2,1
543,38,0,100,0,38,0,62,62,0,1
544,37,0,76,0,20,10,40,55,16,1
545,45,-1,79,2,46,13,33,32,0,1
546,37,0,79,0,24,-12,43,56,14,1
547,56,0,92,0,56,5,36,35,0,1
548,52,0,86,8,52,0,33,34,0,1
549,37,0,77,-3,-10,18,40,87,46,1
550,47,4,87,-5,46,0,40,41,0,1
551,37,0,94,1,30,-3,57,63,6,1
552,37,0,76,0,24,25,39,52,14,1
553,37,1,75,0,20,14,38,54,16,1
554,53,3,86,-1,52,-12,33,34,2,1
555,37,0,106,0,20,-22,69,85,16,1
556,56,4,85,0,56,1,29,28,0,1
557,48,-2,89,0,46,0,41,42,2,1
558,46,0,90,7,46,0,44,44,0,1
559,56,3,77,1,10,9,22,67,46,4
560,53,0,104,0,54,3,50,49,0,1
561,49,5,78,-7,50,2,29,29,0,1
562,45,2,83,0,44,0,37,39,2,1
563,45,0,90,0,46,11,44,43,0,1
564,104,0,106,0,72,2,1,33,32,5
565,54,0,81,-3,54,0,27,26,0,1
566,80,0,84,0,-36,0,4,120,116,5
567,53,0,77,0,52,-16,25,26,2,1
568,37,-18,106,-1,34,-3,69,72,4,1
569,45,0,80,0,44,-22,35,36,2,1
570,37,1,109,7,26,0,71,83,12,1
571,45,0,84,0,44,-2,38,40,2,1
572,37,0,76,0,28,-3,40,48,8,1
573,41,3,102,0,42,6,61,60,0,1
574,56,4,94,0,50,0,38,45,6,4
575,37,0,76,0,26,5,39,50,12,1
576,37,0,106,0,34,28,69,73,4,1
577,37,0,77,0,30,0,40,46,6,1
578,47,4,102,0,46,0,56,56,0,1
579,37,0,83,0,36,13,46,46,0,1
580,62,1,109,0,60,-30,47,50,2,1
581,56,0,77,0,-6,-24,21,85,64,4
582,81,0,86,0,-22,15,4,109,104,5
583,50,-4,111,3,50,0,61,62,0,1
584,52,0,88,0,52,-2,35,36,0,1
585,56,2,82,0,56,4,26,25,0,1
586,55,0,92,0,-6,-14,36,99,64,4
587,84,2,87,2,-4,0,3,92,88,5
588,41,2,81,0,38,-18,39,42,2,1
589,41,0,79,0,38,-11,39,41,2,1
590,55,0,97,0,52,14,41,45,4,4
591,47,0,83,0,46,-1,35,36,0,1
592,37,5,79,3,0,0,41,79,38,1
593,55,0,77,0,12,7,21,64,42,4
594,45,-3,83,0,46,20,37,36,0,1
595,37,-1,78,-3,12,22,42,65,24,1
596,56,1,89,0,56,0,33,32,0,1
597,101,0,102,0,72,8,1,29,28,5
598,78,1,82,3,-42,0,4,126,122,5
599,37,0,76,0,36,9,39,39,0,1
600,44,0,108,0,44,8,64,64,0,1
601,37,0,92,0,18,2,55,74,20,1
602,37,0,77,7,34,-6,41,44,2,1
603,37,1,81,-8,34,0,44,48,4,1
604,59,0,84,0,60,9,25,24,0,1
605,49,-4,83,0,50,0,34,34,0,1
606,37,0,74,-2,24,-5,37,51,14,1
607,55,5,83,0,54,0,28,28,0,1
608,49,5,106,0,50,13,56,57,0,1
609,56,0,84,0,54,-15,28,30,2,1
610,106,-1,108,0,72,3,1,35,34,5
